pdb_id,warnings,status,egfr_chain,ligand_comp_id,rosetta_ligand_comp_id,protein_atom_count,ligand_atom_count,n_protein_residues,n_missing_residues,missing_residue_ranges,n_altloc_atoms_removed,n_disulfides,disulfide_pairs,is_covalent,covalent_protein_residue,covalent_protein_atom,covalent_ligand_atom,n_bridging_waters
5CAO,"31 missing residues (SEQRES vs ATOM): ['748-750', '860-875', '1000-1003']",OK,A,4ZG,4ZG,2416,29,300,31,748-750;860-875;1000-1003,0,0,,False,,,,0
5CAP,"28 missing residues (SEQRES vs ATOM): ['861-875', '1001-1005'] | 7 altloc atom(s) removed | 5 bridging-water candidate(s) (<4Å ligand)",OK,A,4ZH,4ZH,2437,29,303,28,861-875;1001-1005,7,0,,False,,,,5
5CAQ,"30 missing residues (SEQRES vs ATOM): ['748-749', '862-875', '999-1003'] | 4 bridging-water candidate(s) (<4Å ligand)",OK,A,4ZJ,4ZJ,2420,29,301,30,748-749;862-875;999-1003,0,0,,False,,,,4
5CAS,"32 missing residues (SEQRES vs ATOM): ['748-751', '863-875', '999-1006'] | 9 bridging-water candidate(s) (<4Å ligand)",OK,A,4ZQ,4ZQ,2401,34,299,32,748-751;863-875;999-1006,0,0,,False,,,,9
5CAU,"34 missing residues (SEQRES vs ATOM): ['748-751', '862-875', '999-1006'] | 5 bridging-water candidate(s) (<4Å ligand)",OK,A,4ZR,4ZR,2386,34,297,34,748-751;862-875;999-1006,0,0,,False,,,,5
5CAV,25 missing residues (SEQRES vs ATOM): ['985-1002'],OK,A,4ZQ,4ZQ,2448,38,306,25,985-1002,0,0,,False,,,,0
5EDQ,"33 missing residues (SEQRES vs ATOM): ['860-875', '998-1005']",OK,A,5N3,5N3,2393,27,298,33,860-875;998-1005,0,0,,False,,,,0
5EDR,"32 missing residues (SEQRES vs ATOM): ['748-749', '860-875', '999-1003'] | 6 altloc atom(s) removed | 1 bridging-water candidate(s) (<4Å ligand)",OK,A,5N4,5N4,2403,27,299,32,748-749;860-875;999-1003,6,0,,False,,,,1
5EM5,"33 missing residues (SEQRES vs ATOM): ['747-750', '860-875', '999-1003']",OK,A,5Q2,5Q2,2397,33,298,33,747-750;860-875;999-1003,0,0,,False,,,,0
5EM6,"30 missing residues (SEQRES vs ATOM): ['748-750', '862-875', '999-1003']",OK,A,5Q3,5Q3,2422,31,301,30,748-750;862-875;999-1003,0,0,,False,,,,0
5EM7,"31 missing residues (SEQRES vs ATOM): ['747-749', '862-875', '999-1005'] | 33 altloc atom(s) removed",OK,A,5Q4,5Q4,2405,33,300,31,747-749;862-875;999-1005,33,0,,False,,,,0
5EM8,"28 missing residues (SEQRES vs ATOM): ['747-749', '865-866', '991-1005']",OK,A,5Q4,5Q4,2417,32,303,28,747-749;865-866;991-1005,0,0,,False,,,,0
5GMP,"26 missing residues (SEQRES vs ATOM): ['865-875', '991-998'] | 3 altloc atom(s) removed | COVALENT: CYS797 - ligand",OK,A,F62,F62,2364,39,305,26,865-875;991-998,3,0,,True,CYS797,SG,CAR,0
5GNK,20 missing residues (SEQRES vs ATOM): ['864-875'] | 64 altloc atom(s) removed | COVALENT: CYS797 - ligand | 8 bridging-water candidate(s) (<4Å ligand),OK,A,80U,80U,2200,35,277,20,864-875,64,0,,True,CYS797,SG,CAO,8
5GTY,"36 missing residues (SEQRES vs ATOM): ['750-753', '862-876'] | COVALENT: CYS797 - ligand | 1 bridging-water candidate(s) (<4Å ligand)",OK,C,816,816,2325,36,295,36,750-753;862-876,0,0,,True,CYS797,SG,CAP,1
5HCX,"33 missing residues (SEQRES vs ATOM): ['748-750', '862-875', '998-1005'] | 2 bridging-water candidate(s) (<4Å ligand)",OK,A,60B,60B,2389,31,298,33,748-750;862-875;998-1005,0,0,,False,,,,2
5HCY,"29 missing residues (SEQRES vs ATOM): ['748-749', '863-875', '999-1005'] | 4 bridging-water candidate(s) (<4Å ligand)",OK,A,60D,60D,2421,39,302,29,748-749;863-875;999-1005,0,0,,False,,,,4
5HG7,49 missing residues (SEQRES vs ATOM): ['749-751'] | COVALENT: CYS797 - ligand | 4 bridging-water candidate(s) (<4Å ligand),OK,A,630,630,2251,30,280,49,749-751,0,0,,True,CYS797,SG,C21,4
5HG8,29 missing residues (SEQRES vs ATOM): [] | 45 altloc atom(s) removed | COVALENT: CYS797 - ligand | 5 bridging-water candidate(s) (<4Å ligand),OK,A,634,Z34,2418,28,300,29,,45,0,,True,CYS797,SG,C21,5
5HG9,49 missing residues (SEQRES vs ATOM): ['749-752'] | 61 altloc atom(s) removed | COVALENT: CYS797 - ligand | 1 bridging-water candidate(s) (<4Å ligand),OK,A,63A,63A,2254,31,280,49,749-752,61,0,,True,CYS797,SG,C12,1
5J9Y,"23 missing residues (SEQRES vs ATOM): ['863-865', '986-1005'] | 5 altloc atom(s) removed | COVALENT: CYS797 - ligand",OK,A,6HL,6HL,2405,30,300,23,863-865;986-1005,5,0,,True,CYS797,SG,CBC,0
5J9Z,"34 missing residues (SEQRES vs ATOM): ['861-875', '988-1006'] | COVALENT: CYS797 - ligand",OK,A,6HJ,6HJ,2333,30,291,34,861-875;988-1006,0,0,,True,CYS797,SG,CBD,0
5UG8,49 missing residues (SEQRES vs ATOM): ['749-752'] | 35 altloc atom(s) removed | COVALENT: CYS797 - ligand | 10 bridging-water candidate(s) (<4Å ligand),OK,A,8BP,8BP,2254,30,280,49,749-752,35,0,,True,CYS797,SG,C29,10
5UG9,49 missing residues (SEQRES vs ATOM): ['749-752'] | 44 altloc atom(s) removed | COVALENT: CYS797 - ligand | 11 bridging-water candidate(s) (<4Å ligand),OK,A,8AM,8AM,2254,32,280,49,749-752,44,0,,True,CYS797,SG,C31,11
5UGA,46 missing residues (SEQRES vs ATOM): [] | 31 altloc atom(s) removed | 1 bridging-water candidate(s) (<4Å ligand),OK,A,8BM,8BM,2276,35,283,46,,31,0,,False,,,,1
5UGB,"22 missing residues (SEQRES vs ATOM): ['748-749', '991-1005']",OK,A,8BM,8BM,2449,35,307,22,748-749;991-1005,0,0,,False,,,,0
5UGC,49 missing residues (SEQRES vs ATOM): ['749-752'] | 36 altloc atom(s) removed | COVALENT: CYS797 - ligand | 5 bridging-water candidate(s) (<4Å ligand),OK,A,8BS,8BS,2254,30,280,49,749-752,36,0,,True,CYS797,SG,C29,5
5YU9,31 missing residues (SEQRES vs ATOM): ['863-875'] | 14 altloc atom(s) removed | COVALENT: CYS797 - ligand | 6 bridging-water candidate(s) (<4Å ligand),OK,D,1E8,1E8,2394,33,300,31,863-875,14,0,,True,CYS797,SG,CAA,6
