pdb_id,n_protein_chains,n_ligand_copies,motif_summary,selected_chain,selected_ligand_chain,selected_ligand_resnum,selection_status,reason,n_pocket_ligand_copies,n_valid_motif_chains
4RJ7,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1102,OK,"Seçilen ligand kopyası (zincir A, resnum 1102) ATP cebi referans noktalarına en yakın (ortalama 4.85 Å), en yakın protein zinciri A.",1,1
5C8K,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 4.31 Å), en yakın protein zinciri A.",1,1
5C8M,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 4.32 Å), en yakın protein zinciri A.",1,1
5C8N,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1102,OK,"Seçilen ligand kopyası (zincir A, resnum 1102) ATP cebi referans noktalarına en yakın (ortalama 3.62 Å), en yakın protein zinciri A.",1,1
5CAL,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 4.16 Å), en yakın protein zinciri A.",1,1
5CAN,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1102,OK,"Seçilen ligand kopyası (zincir A, resnum 1102) ATP cebi referans noktalarına en yakın (ortalama 4.01 Å), en yakın protein zinciri A.",1,1
5CAO,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 4.19 Å), en yakın protein zinciri A.",1,1
5CAP,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1103,OK,"Seçilen ligand kopyası (zincir A, resnum 1103) ATP cebi referans noktalarına en yakın (ortalama 3.98 Å), en yakın protein zinciri A.",1,1
5CAQ,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1102,OK,"Seçilen ligand kopyası (zincir A, resnum 1102) ATP cebi referans noktalarına en yakın (ortalama 4.25 Å), en yakın protein zinciri A.",1,1
5CAS,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1102,OK,"Seçilen ligand kopyası (zincir A, resnum 1102) ATP cebi referans noktalarına en yakın (ortalama 4.25 Å), en yakın protein zinciri A.",1,1
5CAU,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1102,OK,"Seçilen ligand kopyası (zincir A, resnum 1102) ATP cebi referans noktalarına en yakın (ortalama 4.18 Å), en yakın protein zinciri A.",1,1
5CAV,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 4.22 Å), en yakın protein zinciri A.",1,1
5EDQ,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 5.07 Å), en yakın protein zinciri A.",1,1
5EDR,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 5.05 Å), en yakın protein zinciri A.",1,1
5EM5,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 5.31 Å), en yakın protein zinciri A.",1,1
5EM6,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1102,OK,"Seçilen ligand kopyası (zincir A, resnum 1102) ATP cebi referans noktalarına en yakın (ortalama 4.03 Å), en yakın protein zinciri A.",1,1
5EM7,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1102,OK,"Seçilen ligand kopyası (zincir A, resnum 1102) ATP cebi referans noktalarına en yakın (ortalama 4.45 Å), en yakın protein zinciri A.",1,1
5EM8,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 4.67 Å), en yakın protein zinciri A.",1,1
5GMP,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 5.84 Å), en yakın protein zinciri A.",1,1
5GNK,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1001,OK,"Seçilen ligand kopyası (zincir A, resnum 1001) ATP cebi referans noktalarına en yakın (ortalama 5.24 Å), en yakın protein zinciri A.",1,1
5GTY,8,8,"{'A': '8/8 OK (0 eksik)', 'B': '8/8 OK (0 eksik)', 'D': '8/8 OK (0 eksik)', 'E': '8/8 OK (0 eksik)', 'F': '8/8 OK (0 eksik)', 'G': '8/8 OK (0 eksik)', 'H': '8/8 OK (0 eksik)', 'C': '8/8 OK (0 eksik)'}",C,C,1101,OK,"Seçilen ligand kopyası (zincir C, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 5.21 Å), en yakın protein zinciri C. 8 kopya mesafe bakımından eşdeğerdi (± 1 Å); tamlık (eksik CA: 0), occupancy (1.00) ve altloc (0 atom) ile ayırt edildi. Diğer cep-içi kopyalar (kullanılmadı): A/1101 (5.70 Å), B/1101 (5.43 Å), D/1101 (5.29 Å), E/1101 (5.40 Å), F/1101 (5.44 Å), G/1101 (5.40 Å), H/1101 (5.40 Å).",8,8
5HCX,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1102,OK,"Seçilen ligand kopyası (zincir A, resnum 1102) ATP cebi referans noktalarına en yakın (ortalama 3.89 Å), en yakın protein zinciri A.",1,1
5HCY,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1102,OK,"Seçilen ligand kopyası (zincir A, resnum 1102) ATP cebi referans noktalarına en yakın (ortalama 4.00 Å), en yakın protein zinciri A.",1,1
5HG7,1,1,{'A': '8/8 OK (0 eksik)'},A,A,9001,OK,"Seçilen ligand kopyası (zincir A, resnum 9001) ATP cebi referans noktalarına en yakın (ortalama 7.34 Å), en yakın protein zinciri A.",1,1
5HG8,1,1,{'A': '8/8 OK (0 eksik)'},A,A,9001,OK,"Seçilen ligand kopyası (zincir A, resnum 9001) ATP cebi referans noktalarına en yakın (ortalama 7.88 Å), en yakın protein zinciri A.",1,1
5HG9,1,1,{'A': '8/8 OK (0 eksik)'},A,A,9001,OK,"Seçilen ligand kopyası (zincir A, resnum 9001) ATP cebi referans noktalarına en yakın (ortalama 7.73 Å), en yakın protein zinciri A.",1,1
5J9Y,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 4.91 Å), en yakın protein zinciri A.",1,1
5J9Z,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 4.78 Å), en yakın protein zinciri A.",1,1
5UG8,1,1,{'A': '8/8 OK (0 eksik)'},A,A,9001,OK,"Seçilen ligand kopyası (zincir A, resnum 9001) ATP cebi referans noktalarına en yakın (ortalama 7.53 Å), en yakın protein zinciri A.",1,1
5UG9,1,1,{'A': '8/8 OK (0 eksik)'},A,A,9001,OK,"Seçilen ligand kopyası (zincir A, resnum 9001) ATP cebi referans noktalarına en yakın (ortalama 7.57 Å), en yakın protein zinciri A.",1,1
5UGA,1,1,{'A': '8/8 OK (0 eksik)'},A,A,9001,OK,"Seçilen ligand kopyası (zincir A, resnum 9001) ATP cebi referans noktalarına en yakın (ortalama 6.90 Å), en yakın protein zinciri A.",1,1
5UGB,1,1,{'A': '8/8 OK (0 eksik)'},A,A,9001,OK,"Seçilen ligand kopyası (zincir A, resnum 9001) ATP cebi referans noktalarına en yakın (ortalama 5.90 Å), en yakın protein zinciri A.",1,1
5UGC,1,1,{'A': '8/8 OK (0 eksik)'},A,A,9001,OK,"Seçilen ligand kopyası (zincir A, resnum 9001) ATP cebi referans noktalarına en yakın (ortalama 8.12 Å), en yakın protein zinciri A.",1,1
5YU9,4,4,"{'A': '8/8 OK (0 eksik)', 'B': '8/8 OK (0 eksik)', 'C': '8/8 OK (0 eksik)', 'D': '8/8 OK (0 eksik)'}",D,D,1101,OK,"Seçilen ligand kopyası (zincir D, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 5.67 Å), en yakın protein zinciri D. 4 kopya mesafe bakımından eşdeğerdi (± 1 Å); tamlık (eksik CA: 0), occupancy (1.00) ve altloc (0 atom) ile ayırt edildi. Diğer cep-içi kopyalar (kullanılmadı): A/1101 (5.68 Å), B/1101 (5.74 Å), C/1101 (5.70 Å).",4,4
