pdb_id,ligand_comp_id,download_timestamp_utc,pdb_downloaded,pdb_http_status,pdb_sha256,pdb_bytes,pdb_atom_count,pdb_id_match,pdb_ligand_found,cif_downloaded,cif_http_status,cif_sha256,cif_bytes,cif_atom_count,cif_id_match,cif_ligand_found,status,notes
5CAL,4Z8,2026-07-23T22:13:44.907492+00:00,True,200,926308dcfe503ad7c077e92de71277f471ae495d7a9fdb2787dfe0560a33bfb3,439587,2440,True,True,True,200,c266e22453f1f985869044e6be840bb4b941ff89c88c90a4ad650fb778e8956e,519119,2440,True,True,OK,
5CAN,4ZB,2026-07-23T22:13:46.418862+00:00,True,200,b84b14c8feaab3614548f32dba4d6e0b3cb2c758d87f47ceb08f6d5bb4f56b54,442260,2451,True,True,True,200,e07af754dcb1e3f2eb4c561b4047a98ead9b8d45640a4b74a237dee0f187b697,521858,2451,True,True,OK,
5CAO,4ZG,2026-07-23T22:13:47.739061+00:00,True,200,a934f8d790f4833f9668fd77bb72337dabe0155418f9887d3a52456ccdf7f025,441369,2450,True,True,True,200,accea583d915a62da064a06cc5503168ba38955158d047071cc1d24a9023c6f2,521220,2450,True,True,OK,
5CAP,4ZH,2026-07-23T22:13:49.042782+00:00,True,200,d532324b12c5055bbb5a017dfdf8cdd221bd2809d596559d2b5a5e8bd652404a,451575,2525,True,True,True,200,463b5c13b31d3d167533700cca8162ba051f46f664914c6c4ebb04e84e770321,533049,2525,True,True,OK,
5CAQ,4ZJ,2026-07-23T22:13:50.275031+00:00,True,200,262de5f5fb78caad663b1d692c00e0364c675e9c21019940ee0e3d02c9b92ad7,448821,2533,True,True,True,200,21183e98f79f075381e9fb2764a7a0b373a907447e98db2ae0b15511785fbbcf,531565,2533,True,True,OK,
5CAS,4ZQ,2026-07-23T22:13:51.596874+00:00,True,200,22e8cec447b3a5ee57434e0e26b38f5dcb9347b629a98cdb9a53910caad85dd7,452223,2574,True,True,True,200,fd5516195536c092e5056c01221762ef312f4e8e273b5bce55fdac2002553993,537192,2574,True,True,OK,
5CAU,4ZR,2026-07-23T22:13:52.984755+00:00,True,200,e7ab82c3e84a3021b6d355cc184b1d73ec6e270f4189e6b0cbb9f7ff78666149,447201,2526,True,True,True,200,e4dfcbc9a209871c1dc65fde892a57ffd03ffaeb5854a403e8b1f737383417b6,530407,2526,True,True,OK,
5CAV,4ZQ,2026-07-23T22:13:55.454102+00:00,True,200,b2f0e7c39fcd756b1ee1f837cf1ae35bb0ce6af5e6df1188c05e4cafcac6108e,447120,2488,True,True,True,200,ee1aba4813b26ac30d799f5db95d4f1567809aa0fc07b5039be47676ef183c06,528109,2488,True,True,OK,
5EDQ,5N3,2026-07-23T22:13:56.924816+00:00,True,200,df7630d55ae68f12e0f3d043d47d2ae82894ea29f53c8a5d2e3e93658c251a60,437238,2420,True,True,True,200,760815a363bb83fe0ea9e092e28c997c1cd344fbb83577a54caeeb5bc1cd4e1e,519712,2420,True,True,OK,
5EDR,5N4,2026-07-23T22:13:58.468128+00:00,True,200,ac79e6733694e90d6a9e04599db09a8d1e1dd567d267c7610c0e72a0111129b5,444042,2493,True,True,True,200,187a3b673f3a34724b6e22ad01054304733fc28c31d7e4cdfcd3f0e5f76481d9,526569,2493,True,True,OK,
5EM5,5Q2,2026-07-23T22:13:59.349662+00:00,True,200,b2f613115092fd2842b4073357b518c1ecb3d9ba1a84f24a7352508240f3dea8,439992,2438,True,True,True,200,c253e85d06feb82ac1e039a54fc7b9e3b64a9172a98531ab77936e310b71474e,525460,2438,True,True,OK,
5EM6,5Q3,2026-07-23T22:14:00.879699+00:00,True,200,bf26a008c65df75345e6dfa239faca85576a46f3a358e08a9c059d0f1e824c07,444852,2464,True,True,True,200,528599249d3a757b4b932ac83f91962d0c4c35d76bf6b0afe04583aa289e0a1c,524982,2464,True,True,OK,
5EM7,5Q4,2026-07-23T22:14:02.424061+00:00,True,200,d9c20771c7918c2a7d9e55716765d74ea6bceb3ac9d9f6da56eeacf02a54a2c3,449955,2476,True,True,True,200,d69a5fcdb87f92e1646a4eae76cbf276cc25b0288ae39660b57eed2d750b171f,526951,2476,True,True,OK,
5EM8,5Q4,2026-07-23T22:14:03.743290+00:00,True,200,66e8d74c356efe53f508082c59c3006d0b7c9d6ca6ad55e2aaa6d268792d0550,442908,2449,True,True,True,200,3d23adc06bd12826b2eed5075167cdcaa1090aeae8dcda3797bc9804c7a96ddc,522022,2449,True,True,OK,
5GMP,F62,2026-07-23T22:14:05.335451+00:00,True,200,3abc610d54e745b565950901ceb588fbc361d0f73e48f753664c338690984433,240570,2437,True,True,True,200,b9b6537677d127079f2bf2bbd8bb90820155a8c7a78a57a6a0500595aff67438,310567,2437,True,True,OK,
5GNK,80U,2026-07-23T22:14:05.575378+00:00,True,200,154cd8702e5c9e1b126bb6b3722fb8020f2667e5c561c41d6e2fed21e3888ad0,277749,2660,True,True,True,200,06d2ae09a740e3177917b599b46277292eaae3f0b0ccac49bc2c4f355486250f,343581,2660,True,True,OK,
5GTY,816,2026-07-23T22:14:06.911024+00:00,True,200,0d54e131e0ccf7e36851838656badc539478625d4499a524af9964bc2bd96b4d,1697760,19277,True,True,True,200,45359e3512e277a584f39f6680c369ed950b16b6b77220db0e94eeda5d0a4551,2050671,19277,True,True,OK,
5HCX,60B,2026-07-23T22:14:08.638692+00:00,True,200,0f3bf9e00c480a157f73772104097c073719a9f55bfea0832442d62f7fe958dc,439506,2432,True,True,True,200,52b58e82f41fa8133770ff8c7783c4f3e38c6ea8bfc7ebdb329b36ae8725e0a0,519859,2432,True,True,OK,
5HCY,60D,2026-07-23T22:14:10.081964+00:00,True,200,052220fee2b382e34da1f775beae2d7511a55e6a340e3efde0bf785fc09cabcc,454167,2555,True,True,True,200,b580b55909217ddc00dd6270ae8a9a2a71ced4d3bb02240b65ad755b69742fe4,538187,2555,True,True,OK,
5HG7,630,2026-07-23T22:14:11.934390+00:00,True,200,be3dc94de7ef2a7e2e7187e6504194a0cfb14ed4b3e360612eaaac5166f3b926,243324,2505,True,True,True,200,9a5ba204c582c616b35069c708b27e46b3c9ea6ecd2abd9abc94751e53cdf643,328226,2505,True,True,OK,
5HG8,634,2026-07-23T22:14:13.113445+00:00,True,200,8556a280ab40d2bf93fce6c5b0cbc40ac4d1fe2d3bbf84328a449dd634bd079b,260820,2716,True,True,True,200,35fe75c16087eb0e2c16a428693619b2e4a5529ac73c71ceb4b0b4f25c6ac2f1,349419,2716,True,True,OK,
5HG9,63A,2026-07-23T22:14:14.165211+00:00,True,200,730781780bb38082e7c3be1a9df1bdc2e943c80e68d937e5b8c853aabb1a2db5,248184,2510,True,True,True,200,d59594befc221b45c19537b7f4525b47e973d9261d4866111659cf63680faa14,326111,2510,True,True,OK,
5J9Y,6HL,2026-07-23T22:14:14.477898+00:00,True,200,901144eba1866288d760e4234981eea046d6c76529e0684b0be6954418517593,242433,2452,True,True,True,200,ad6ced6455b9daca22e08060ed484494bddd96234c98f5a3ab4f4b3948ae6afe,313223,2452,True,True,OK,
5J9Z,6HJ,2026-07-23T22:14:15.590205+00:00,True,200,d23dab4987633ca0c564da9f780d628d4e9465165ece4261b32071b634f27afe,238221,2384,True,True,True,200,bcb7963b88e484c14ba9910345b918ecc0e15d0c703f5e7f1e1ec6c45ac885ef,306769,2384,True,True,OK,
5UG8,8BP,2026-07-23T22:14:16.641352+00:00,True,200,cfe9b8f23ec8de9721b922541c8cb171ea2952211997b7cde45533f11b38aa2a,258147,2632,True,True,True,200,4deec8103fe61ca0940ebc7d3efbc137ed79cc3abb552ad38acd04fab6147042,341665,2632,True,True,OK,
5UG9,8AM,2026-07-23T22:14:18.180921+00:00,True,200,24013b98bdebcef070c3c4834e726014467f4a7839fd316793fb76a647c3b41f,261225,2664,True,True,True,200,ea41440a5eac18de5ec964e0462f6f14547e3bff0979e1fb7ba10466e1c97e59,347321,2664,True,True,OK,
5UGA,8BM,2026-07-23T22:14:19.527469+00:00,True,200,693cd11369dd41b447a7fc8320e2fa151d1057aa059f75162ac0def76eb5a0a2,247779,2530,True,True,True,200,5e5dc2fa8d414a8c6f347ad99a6252190ced30e29885509041e9cbfb65081361,324689,2530,True,True,OK,
5UGB,8BM,2026-07-23T22:14:20.739850+00:00,True,200,cc69bffd62e25534b02bfe771208ee3521ab9ff797df156109b1505c6491969d,244215,2492,True,True,True,200,6c2569ce36a684371cf1b0af3928a0550b4c52de64df7385338226c9cdccf59f,314743,2492,True,True,OK,
5UGC,8BS,2026-07-23T22:14:21.681271+00:00,True,200,184e04c659891c912f5ce7d24741c4dae993595634ae7b0096afbce9e6cf4822,250290,2542,True,True,True,200,26a971002de102d81bcd91e57282324b6c6a450bcff9ee088c02b04f416da1c4,331352,2542,True,True,OK,
5YU9,1E8,2026-07-23T22:14:22.947435+00:00,True,200,34f8b82466a61381dab0a88c223a93779562a53878137e3db901a25d223d0441,952317,10782,True,True,True,200,e1abe98a82e9b7d6bc0b743c5bca8c30b6fa151a59c60f4ee44de52c395008a4,1168955,10782,True,True,OK,
